дата,рік,місяць,країна,місто,система_DRS,рівень_збору_%,рік_запуску_системи,бренд,матеріал,кількість_пляшок,депозит_EUR,метод_виплати
2021-03-28,2021,3,Фінляндія,Оулу,Palpa,94,1996,Fazer,PET,4,0.45,Благодійність
2021-03-28,2021,3,Швеція,Уппсала,Returpack,88,1984,Loka,PET,2,0.43,Благодійність
2021-03-28,2021,3,Швеція,Уппсала,Returpack,88,1984,Loka,PET,17,3.08,Ваучер
2021-03-29,2021,3,Фінляндія,Гельсінкі,Palpa,94,1996,Hartwall,ALU,13,2.15,Благодійність
2021-03-29,2021,3,Швеція,Гетеборг,Returpack,88,1984,Pepsi Sweden,ALU,17,3.24,Ваучер
2021-03-29,2021,3,Швеція,Стокгольм,Returpack,88,1984,Pepsi Sweden,PET,1,0.22,Благодійність
2021-03-29,2021,3,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Aldaris,PET,8,1.15,Готівка
2021-03-30,2021,3,Німеччина,Кельн,DPG/Pfand,98,2003,Coca-Cola,ALU,2,0.25,Благодійність
2021-03-30,2021,3,Німеччина,Франкфурт,DPG/Pfand,98,2003,Sprite,ALU,9,1.81,Додаток
2021-03-30,2021,3,Естонія,Нарва,Eesti Pandipakend,93,2005,Saku,PET,7,0.99,Ваучер
2021-03-30,2021,3,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,ALU,4,0.66,Готівка
2021-03-30,2021,3,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Riga Breweries,PET,3,0.56,Додаток
2021-03-30,2021,3,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Riga Breweries,ALU,4,0.81,Ваучер
2021-03-31,2021,3,Норвегія,Берген,Infinitum,97,1999,Farris,ALU,18,2.42,Додаток
2021-03-31,2021,3,Німеччина,Франкфурт,DPG/Pfand,98,2003,Coca-Cola,PET,21,3.35,Благодійність
2021-03-31,2021,3,Естонія,Таллінн,Eesti Pandipakend,93,2005,Põltsamaa Felix,PET,20,4.03,Благодійність
2021-03-31,2021,3,Литва,Вільнюс,USAD,92,2016,Akvilė,PET,23,4.16,Додаток
2021-03-31,2021,3,Литва,Шяуляй,USAD,92,2016,Kauno Grūdai,PET,5,1.14,Додаток
2021-03-31,2021,3,Хорватія,Спліт,HAOP,90,2006,Karlovačko,PET,24,4.82,Благодійність
2021-03-31,2021,3,Данія,Копенгаген,Dansk Retursystem,89,2002,Royal Unibrew,PET,13,1.99,Готівка
2021-03-31,2021,3,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Cido,ALU,12,1.88,Ваучер
2021-03-31,2021,3,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Grolsch,PET,4,0.58,Готівка
2021-03-31,2021,3,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Sourcy,PET,17,4.11,Додаток
2021-04-01,2021,4,Естонія,Таллінн,Eesti Pandipakend,93,2005,Aura,PET,25,6.23,Готівка
2021-04-01,2021,4,Хорватія,Загреб,HAOP,90,2006,Ozujsko,ALU,6,0.87,Благодійність
2021-04-01,2021,4,Швеція,Стокгольм,Returpack,88,1984,Loka,PET,10,2.4,Благодійність
2021-04-01,2021,4,Швеція,Мальме,Returpack,88,1984,Loka,ALU,21,3.33,Готівка
2021-04-01,2021,4,Данія,Оденсе,Dansk Retursystem,89,2002,Carlsberg,ALU,19,4.69,Готівка
2021-04-01,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Tuborg,PET,2,0.24,Благодійність
2021-04-01,2021,4,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Coca-Cola NL,ALU,3,0.66,Додаток
2021-04-02,2021,4,Німеччина,Берлін,DPG/Pfand,98,2003,Volvic,ALU,4,0.54,Додаток
2021-04-02,2021,4,Хорватія,Осієк,HAOP,90,2006,Karlovačko,PET,13,2.7,Додаток
2021-04-02,2021,4,Данія,Копенгаген,Dansk Retursystem,89,2002,Carlsberg,ALU,18,2.71,Благодійність
2021-04-02,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,PET,8,1.72,Благодійність
2021-04-02,2021,4,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Aldaris,PET,13,1.32,Готівка
2021-04-02,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Grolsch,ALU,9,1.46,Ваучер
2021-04-03,2021,4,Литва,Каунас,USAD,92,2016,Akvilė,PET,24,2.45,Ваучер
2021-04-03,2021,4,Фінляндія,Турку,Palpa,94,1996,Coca-Cola Finland,PET,6,1.06,Благодійність
2021-04-03,2021,4,Фінляндія,Тампере,Palpa,94,1996,Pirkka,PET,17,3.97,Ваучер
2021-04-03,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Spa,PET,12,1.57,Благодійність
2021-04-04,2021,4,Норвегія,Ставангер,Infinitum,97,1999,Ringnes,PET,23,3.19,Додаток
2021-04-04,2021,4,Естонія,Нарва,Eesti Pandipakend,93,2005,Saku,ALU,11,1.79,Ваучер
2021-04-04,2021,4,Естонія,Нарва,Eesti Pandipakend,93,2005,Aura,PET,18,3.33,Благодійність
2021-04-04,2021,4,Литва,Каунас,USAD,92,2016,Kauno Grūdai,ALU,6,0.81,Ваучер
2021-04-04,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,PET,15,2.15,Благодійність
2021-04-05,2021,4,Німеччина,Кельн,DPG/Pfand,98,2003,Gerolsteiner,ALU,1,0.23,Готівка
2021-04-05,2021,4,Литва,Вільнюс,USAD,92,2016,Rasa,PET,22,4.25,Додаток
2021-04-05,2021,4,Хорватія,Рієка,HAOP,90,2006,Jana,ALU,1,0.21,Благодійність
2021-04-05,2021,4,Хорватія,Осієк,HAOP,90,2006,Ozujsko,PET,4,0.5,Ваучер
2021-04-05,2021,4,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Tērvetes,PET,19,2.77,Додаток
2021-04-06,2021,4,Німеччина,Штутгарт,DPG/Pfand,98,2003,Volvic,ALU,10,1.1,Готівка
2021-04-06,2021,4,Німеччина,Штутгарт,DPG/Pfand,98,2003,Fanta,PET,1,0.14,Готівка
2021-04-06,2021,4,Естонія,Пярну,Eesti Pandipakend,93,2005,Värska,PET,21,4.03,Ваучер
2021-04-06,2021,4,Литва,Каунас,USAD,92,2016,Akvilė,ALU,20,4.45,Ваучер
2021-04-06,2021,4,Литва,Клайпеда,USAD,92,2016,Švyturys,PET,14,3.41,Додаток
2021-04-06,2021,4,Литва,Вільнюс,USAD,92,2016,Akvilė,PET,4,0.83,Готівка
2021-04-06,2021,4,Хорватія,Спліт,HAOP,90,2006,Coca-Cola Croatia,PET,16,3.82,Готівка
2021-04-06,2021,4,Швеція,Гетеборг,Returpack,88,1984,Ramlösa,PET,1,0.12,Благодійність
2021-04-06,2021,4,Швеція,Гетеборг,Returpack,88,1984,Ramlösa,PET,5,0.88,Готівка
2021-04-06,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,PET,3,0.49,Ваучер
2021-04-06,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Coca-Cola NL,ALU,1,0.22,Готівка
2021-04-06,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Spa,PET,13,2.37,Готівка
2021-04-07,2021,4,Німеччина,Кельн,DPG/Pfand,98,2003,Pepsi,PET,6,1.38,Додаток
2021-04-07,2021,4,Естонія,Тарту,Eesti Pandipakend,93,2005,Aura,PET,26,2.82,Благодійність
2021-04-07,2021,4,Литва,Клайпеда,USAD,92,2016,Utenos,PET,1,0.25,Готівка
2021-04-07,2021,4,Хорватія,Осієк,HAOP,90,2006,Jamnica,PET,11,2.58,Додаток
2021-04-07,2021,4,Хорватія,Загреб,HAOP,90,2006,Jamnica,PET,24,5.81,Додаток
2021-04-07,2021,4,Фінляндія,Гельсінкі,Palpa,94,1996,Coca-Cola Finland,PET,27,3.01,Ваучер
2021-04-07,2021,4,Данія,Орхус,Dansk Retursystem,89,2002,Royal Unibrew,PET,4,0.76,Ваучер
2021-04-07,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Faxe,ALU,9,0.93,Ваучер
2021-04-07,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Tuborg,PET,18,2.82,Додаток
2021-04-08,2021,4,Німеччина,Берлін,DPG/Pfand,98,2003,Paulaner,PET,12,1.47,Ваучер
2021-04-08,2021,4,Литва,Каунас,USAD,92,2016,Rasa,PET,9,1.89,Додаток
2021-04-08,2021,4,Хорватія,Рієка,HAOP,90,2006,Ozujsko,PET,26,3.79,Додаток
2021-04-08,2021,4,Фінляндія,Гельсінкі,Palpa,94,1996,Hartwall,ALU,6,1.37,Ваучер
2021-04-08,2021,4,Швеція,Гетеборг,Returpack,88,1984,Pepsi Sweden,PET,1,0.22,Додаток
2021-04-08,2021,4,Нідерланди,Амстердам,Statiegeld Nederland,95,2023,Heineken,PET,4,0.75,Ваучер
2021-04-09,2021,4,Норвегія,Берген,Infinitum,97,1999,Solo,PET,4,0.65,Додаток
2021-04-09,2021,4,Норвегія,Берген,Infinitum,97,1999,Coca-Cola Norway,PET,8,1.67,Додаток
2021-04-09,2021,4,Німеччина,Мюнхен,DPG/Pfand,98,2003,Coca-Cola,PET,2,0.29,Готівка
2021-04-09,2021,4,Хорватія,Загреб,HAOP,90,2006,Coca-Cola Croatia,PET,18,2.78,Ваучер
2021-04-09,2021,4,Фінляндія,Турку,Palpa,94,1996,Olvi,ALU,1,0.25,Готівка
2021-04-09,2021,4,Швеція,Стокгольм,Returpack,88,1984,Pepsi Sweden,ALU,9,1.99,Ваучер
2021-04-09,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Carlsberg,ALU,12,1.43,Благодійність
2021-04-10,2021,4,Німеччина,Гамбург,DPG/Pfand,98,2003,Paulaner,PET,22,3.13,Благодійність
2021-04-10,2021,4,Литва,Вільнюс,USAD,92,2016,Švyturys,ALU,23,4.26,Готівка
2021-04-10,2021,4,Литва,Вільнюс,USAD,92,2016,Rasa,ALU,15,3.07,Ваучер
2021-04-10,2021,4,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,5,0.95,Благодійність
2021-04-10,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Spa,PET,15,3.17,Додаток
2021-04-11,2021,4,Естонія,Тарту,Eesti Pandipakend,93,2005,Saku,PET,27,4.36,Ваучер
2021-04-11,2021,4,Хорватія,Спліт,HAOP,90,2006,Karlovačko,PET,17,3.73,Додаток
2021-04-11,2021,4,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Aldaris,PET,19,2.72,Ваучер
2021-04-12,2021,4,Литва,Клайпеда,USAD,92,2016,Utenos,ALU,6,1.48,Ваучер
2021-04-12,2021,4,Швеція,Мальме,Returpack,88,1984,Ramlösa,PET,26,3.62,Ваучер
2021-04-12,2021,4,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Sourcy,PET,13,1.85,Готівка
2021-04-13,2021,4,Норвегія,Осло,Infinitum,97,1999,Solo,PET,7,0.83,Готівка
2021-04-13,2021,4,Німеччина,Берлін,DPG/Pfand,98,2003,Coca-Cola,PET,13,1.64,Благодійність
2021-04-13,2021,4,Хорватія,Осієк,HAOP,90,2006,Jana,ALU,14,1.63,Благодійність
2021-04-13,2021,4,Фінляндія,Тампере,Palpa,94,1996,Coca-Cola Finland,PET,16,2.78,Додаток
2021-04-14,2021,4,Естонія,Тарту,Eesti Pandipakend,93,2005,Aura,PET,9,2.13,Готівка
2021-04-14,2021,4,Литва,Шяуляй,USAD,92,2016,Švyturys,ALU,3,0.38,Готівка
2021-04-14,2021,4,Хорватія,Осієк,HAOP,90,2006,Karlovačko,ALU,19,3.05,Готівка
2021-04-14,2021,4,Фінляндія,Оулу,Palpa,94,1996,Hartwall,ALU,6,0.86,Готівка
2021-04-14,2021,4,Фінляндія,Тампере,Palpa,94,1996,Fazer,PET,1,0.14,Додаток
2021-04-14,2021,4,Швеція,Гетеборг,Returpack,88,1984,Nygårda,PET,6,0.68,Благодійність
2021-04-15,2021,4,Литва,Шяуляй,USAD,92,2016,Rasa,ALU,14,1.78,Благодійність
2021-04-15,2021,4,Хорватія,Рієка,HAOP,90,2006,Coca-Cola Croatia,PET,18,3.77,Ваучер
2021-04-15,2021,4,Хорватія,Загреб,HAOP,90,2006,Jana,PET,25,4.81,Додаток
2021-04-15,2021,4,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,10,2.16,Готівка
2021-04-16,2021,4,Естонія,Тарту,Eesti Pandipakend,93,2005,A. Le Coq,ALU,10,1.8,Ваучер
2021-04-16,2021,4,Фінляндія,Турку,Palpa,94,1996,Olvi,ALU,9,1.86,Благодійність
2021-04-16,2021,4,Швеція,Гетеборг,Returpack,88,1984,Nygårda,ALU,15,1.66,Готівка
2021-04-16,2021,4,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Sourcy,PET,19,3.62,Ваучер
2021-04-17,2021,4,Німеччина,Кельн,DPG/Pfand,98,2003,Coca-Cola,ALU,24,3.83,Готівка
2021-04-17,2021,4,Швеція,Гетеборг,Returpack,88,1984,Ramlösa,PET,25,3.38,Ваучер
2021-04-17,2021,4,Швеція,Стокгольм,Returpack,88,1984,Coca-Cola Sweden,PET,2,0.39,Благодійність
2021-04-17,2021,4,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Riga Breweries,ALU,13,2.58,Готівка
2021-04-17,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Coca-Cola NL,ALU,24,5.08,Додаток
2021-04-18,2021,4,Естонія,Нарва,Eesti Pandipakend,93,2005,Aura,ALU,12,1.5,Ваучер
2021-04-18,2021,4,Швеція,Мальме,Returpack,88,1984,Nygårda,ALU,8,1.98,Благодійність
2021-04-18,2021,4,Швеція,Уппсала,Returpack,88,1984,Coca-Cola Sweden,ALU,1,0.16,Ваучер
2021-04-18,2021,4,Данія,Орхус,Dansk Retursystem,89,2002,Tuborg,PET,10,2.22,Готівка
2021-04-18,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Heineken,PET,18,3.67,Благодійність
2021-04-19,2021,4,Норвегія,Ставангер,Infinitum,97,1999,Farris,ALU,13,1.58,Ваучер
2021-04-19,2021,4,Естонія,Пярну,Eesti Pandipakend,93,2005,Põltsamaa Felix,PET,24,3.42,Ваучер
2021-04-19,2021,4,Естонія,Тарту,Eesti Pandipakend,93,2005,Saku,PET,12,1.34,Благодійність
2021-04-19,2021,4,Естонія,Пярну,Eesti Pandipakend,93,2005,Värska,ALU,25,3.9,Готівка
2021-04-19,2021,4,Литва,Шяуляй,USAD,92,2016,Rasa,PET,5,0.64,Додаток
2021-04-19,2021,4,Фінляндія,Гельсінкі,Palpa,94,1996,Fazer,PET,23,2.49,Готівка
2021-04-19,2021,4,Швеція,Гетеборг,Returpack,88,1984,Loka,PET,12,2.99,Готівка
2021-04-19,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Tuborg,PET,7,1.11,Готівка
2021-04-19,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Carlsberg,PET,13,1.37,Ваучер
2021-04-20,2021,4,Норвегія,Тромсе,Infinitum,97,1999,Ringnes,ALU,27,6.27,Благодійність
2021-04-20,2021,4,Фінляндія,Оулу,Palpa,94,1996,Fazer,ALU,17,2.17,Готівка
2021-04-20,2021,4,Фінляндія,Турку,Palpa,94,1996,Coca-Cola Finland,PET,8,1.84,Готівка
2021-04-20,2021,4,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Tērvetes,PET,26,3.51,Готівка
2021-04-21,2021,4,Литва,Шяуляй,USAD,92,2016,Švyturys,ALU,9,1.05,Благодійність
2021-04-21,2021,4,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Tērvetes,PET,19,3.97,Благодійність
2021-04-22,2021,4,Норвегія,Берген,Infinitum,97,1999,Solo,ALU,1,0.18,Благодійність
2021-04-22,2021,4,Хорватія,Загреб,HAOP,90,2006,Ozujsko,ALU,8,0.92,Готівка
2021-04-22,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Sourcy,PET,26,5.42,Ваучер
2021-04-23,2021,4,Норвегія,Ставангер,Infinitum,97,1999,Solo,PET,23,5.3,Ваучер
2021-04-23,2021,4,Естонія,Пярну,Eesti Pandipakend,93,2005,Põltsamaa Felix,PET,5,0.68,Додаток
2021-04-23,2021,4,Литва,Шяуляй,USAD,92,2016,Rasa,PET,23,4.31,Ваучер
2021-04-23,2021,4,Хорватія,Рієка,HAOP,90,2006,Coca-Cola Croatia,PET,23,5.04,Ваучер
2021-04-23,2021,4,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Cido,PET,17,2.38,Готівка
2021-04-23,2021,4,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Riga Breweries,PET,1,0.14,Благодійність
2021-04-23,2021,4,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Riga Breweries,PET,22,4.02,Ваучер
2021-04-24,2021,4,Норвегія,Берген,Infinitum,97,1999,Farris,PET,9,2.01,Ваучер
2021-04-24,2021,4,Німеччина,Гамбург,DPG/Pfand,98,2003,Coca-Cola,PET,15,2.92,Ваучер
2021-04-24,2021,4,Естонія,Тарту,Eesti Pandipakend,93,2005,Saku,PET,18,2.91,Готівка
2021-04-24,2021,4,Литва,Шяуляй,USAD,92,2016,Akvilė,PET,4,0.81,Додаток
2021-04-24,2021,4,Фінляндія,Тампере,Palpa,94,1996,Olvi,ALU,7,1.02,Ваучер
2021-04-25,2021,4,Норвегія,Осло,Infinitum,97,1999,Coca-Cola Norway,PET,11,1.64,Готівка
2021-04-25,2021,4,Норвегія,Осло,Infinitum,97,1999,Coca-Cola Norway,PET,22,2.3,Ваучер
2021-04-25,2021,4,Естонія,Нарва,Eesti Pandipakend,93,2005,Saku,PET,27,5.62,Додаток
2021-04-25,2021,4,Естонія,Таллінн,Eesti Pandipakend,93,2005,Värska,PET,26,4.41,Додаток
2021-04-25,2021,4,Естонія,Тарту,Eesti Pandipakend,93,2005,Värska,PET,21,4.27,Ваучер
2021-04-25,2021,4,Естонія,Нарва,Eesti Pandipakend,93,2005,Aura,PET,20,4.9,Додаток
2021-04-25,2021,4,Данія,Копенгаген,Dansk Retursystem,89,2002,Tuborg,PET,9,0.95,Ваучер
2021-04-25,2021,4,Данія,Ольборг,Dansk Retursystem,89,2002,Coca-Cola Denmark,ALU,2,0.3,Благодійність
2021-04-26,2021,4,Норвегія,Осло,Infinitum,97,1999,Farris,PET,18,4.05,Благодійність
2021-04-26,2021,4,Німеччина,Гамбург,DPG/Pfand,98,2003,Coca-Cola,PET,27,2.93,Благодійність
2021-04-26,2021,4,Литва,Клайпеда,USAD,92,2016,Rasa,ALU,21,4.0,Ваучер
2021-04-26,2021,4,Хорватія,Рієка,HAOP,90,2006,Karlovačko,PET,15,3.03,Додаток
2021-04-26,2021,4,Фінляндія,Оулу,Palpa,94,1996,Fazer,PET,6,1.37,Благодійність
2021-04-26,2021,4,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Cido,PET,21,4.94,Додаток
2021-04-26,2021,4,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Riga Breweries,PET,20,2.25,Ваучер
2021-04-26,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Grolsch,PET,4,0.57,Готівка
2021-04-27,2021,4,Норвегія,Осло,Infinitum,97,1999,Farris,PET,22,4.29,Готівка
2021-04-27,2021,4,Естонія,Таллінн,Eesti Pandipakend,93,2005,A. Le Coq,PET,7,0.75,Додаток
2021-04-27,2021,4,Хорватія,Загреб,HAOP,90,2006,Ozujsko,PET,9,1.61,Додаток
2021-04-27,2021,4,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,3,0.44,Додаток
2021-04-28,2021,4,Норвегія,Осло,Infinitum,97,1999,Imsdal,PET,8,0.88,Додаток
2021-04-28,2021,4,Литва,Шяуляй,USAD,92,2016,Kauno Grūdai,PET,17,3.75,Готівка
2021-04-28,2021,4,Швеція,Стокгольм,Returpack,88,1984,Coca-Cola Sweden,ALU,18,2.71,Благодійність
2021-04-29,2021,4,Фінляндія,Гельсінкі,Palpa,94,1996,Pirkka,PET,12,2.24,Готівка
2021-04-29,2021,4,Данія,Орхус,Dansk Retursystem,89,2002,Faxe,ALU,5,1.25,Додаток
2021-04-29,2021,4,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,6,1.1,Ваучер
2021-04-29,2021,4,Нідерланди,Гаага,Statiegeld Nederland,95,2023,Sourcy,PET,23,4.47,Додаток
2021-04-30,2021,4,Литва,Вільнюс,USAD,92,2016,Švyturys,PET,14,1.86,Благодійність
2021-04-30,2021,4,Швеція,Уппсала,Returpack,88,1984,Nygårda,PET,8,1.39,Ваучер
2021-04-30,2021,4,Швеція,Стокгольм,Returpack,88,1984,Coca-Cola Sweden,PET,13,2.85,Готівка
2021-04-30,2021,4,Швеція,Стокгольм,Returpack,88,1984,Pepsi Sweden,PET,9,1.22,Благодійність
2021-04-30,2021,4,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Cido,PET,19,3.34,Благодійність
2021-05-01,2021,5,Норвегія,Тронгейм,Infinitum,97,1999,Imsdal,PET,31,5.61,Ваучер
2021-05-01,2021,5,Литва,Клайпеда,USAD,92,2016,Utenos,PET,6,0.96,Готівка
2021-05-01,2021,5,Швеція,Стокгольм,Returpack,88,1984,Coca-Cola Sweden,ALU,16,2.35,Ваучер
2021-05-01,2021,5,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Tērvetes,ALU,16,3.66,Готівка
2021-05-01,2021,5,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Cido,ALU,31,5.94,Готівка
2021-05-01,2021,5,Нідерланди,Роттердам,Statiegeld Nederland,95,2023,Sourcy,PET,26,3.55,Додаток
2021-05-02,2021,5,Естонія,Нарва,Eesti Pandipakend,93,2005,Põltsamaa Felix,PET,33,7.26,Додаток
2021-05-02,2021,5,Хорватія,Рієка,HAOP,90,2006,Ozujsko,ALU,20,3.1,Готівка
2021-05-02,2021,5,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Riga Breweries,ALU,13,2.92,Благодійність
2021-05-03,2021,5,Норвегія,Осло,Infinitum,97,1999,Ringnes,ALU,3,0.34,Благодійність
2021-05-03,2021,5,Фінляндія,Гельсінкі,Palpa,94,1996,Olvi,PET,1,0.14,Додаток
2021-05-03,2021,5,Швеція,Гетеборг,Returpack,88,1984,Nygårda,ALU,19,2.73,Готівка
2021-05-03,2021,5,Данія,Оденсе,Dansk Retursystem,89,2002,Faxe,ALU,4,0.44,Готівка
2021-05-04,2021,5,Норвегія,Ставангер,Infinitum,97,1999,Farris,ALU,27,3.67,Благодійність
2021-05-04,2021,5,Німеччина,Франкфурт,DPG/Pfand,98,2003,Volvic,PET,16,2.2,Готівка
2021-05-04,2021,5,Німеччина,Мюнхен,DPG/Pfand,98,2003,Sprite,PET,2,0.28,Благодійність
2021-05-04,2021,5,Німеччина,Мюнхен,DPG/Pfand,98,2003,Volvic,PET,22,2.31,Готівка
2021-05-04,2021,5,Німеччина,Гамбург,DPG/Pfand,98,2003,Coca-Cola,ALU,15,3.28,Готівка
2021-05-04,2021,5,Хорватія,Загреб,HAOP,90,2006,Coca-Cola Croatia,PET,25,5.24,Ваучер
2021-05-04,2021,5,Фінляндія,Турку,Palpa,94,1996,Coca-Cola Finland,ALU,4,0.84,Додаток
2021-05-04,2021,5,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Aldaris,PET,9,0.94,Благодійність
2021-05-04,2021,5,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Sourcy,PET,25,4.28,Додаток
2021-05-05,2021,5,Норвегія,Ставангер,Infinitum,97,1999,Farris,PET,4,0.46,Благодійність
2021-05-05,2021,5,Норвегія,Ставангер,Infinitum,97,1999,Solo,PET,14,1.8,Ваучер
2021-05-05,2021,5,Німеччина,Берлін,DPG/Pfand,98,2003,Pepsi,ALU,8,0.86,Благодійність
2021-05-05,2021,5,Німеччина,Штутгарт,DPG/Pfand,98,2003,Pepsi,PET,33,4.48,Додаток
2021-05-05,2021,5,Хорватія,Спліт,HAOP,90,2006,Karlovačko,PET,12,2.45,Готівка
2021-05-05,2021,5,Швеція,Стокгольм,Returpack,88,1984,Loka,PET,13,2.27,Ваучер
2021-05-05,2021,5,Данія,Орхус,Dansk Retursystem,89,2002,Faxe,PET,26,3.14,Ваучер
2021-05-05,2021,5,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Mangaļi,ALU,19,4.46,Додаток
2021-05-05,2021,5,Латвія,Єлгава,Latvijas Zalais Punkts,91,2011,Mangaļi,PET,12,2.55,Готівка
2021-05-06,2021,5,Німеччина,Штутгарт,DPG/Pfand,98,2003,Gerolsteiner,PET,16,2.16,Ваучер
2021-05-06,2021,5,Хорватія,Осієк,HAOP,90,2006,Jamnica,ALU,23,4.16,Додаток
2021-05-06,2021,5,Швеція,Уппсала,Returpack,88,1984,Ramlösa,ALU,8,1.16,Благодійність
2021-05-06,2021,5,Данія,Ольборг,Dansk Retursystem,89,2002,Coca-Cola Denmark,PET,26,4.65,Готівка
2021-05-07,2021,5,Норвегія,Тромсе,Infinitum,97,1999,Solo,PET,26,4.88,Благодійність
2021-05-07,2021,5,Хорватія,Рієка,HAOP,90,2006,Ozujsko,ALU,8,1.87,Ваучер
2021-05-07,2021,5,Фінляндія,Оулу,Palpa,94,1996,Hartwall,PET,1,0.14,Готівка
2021-05-07,2021,5,Данія,Орхус,Dansk Retursystem,89,2002,Tuborg,PET,8,1.14,Готівка
2021-05-08,2021,5,Естонія,Нарва,Eesti Pandipakend,93,2005,Saku,ALU,22,2.35,Благодійність
2021-05-08,2021,5,Естонія,Тарту,Eesti Pandipakend,93,2005,Põltsamaa Felix,PET,27,6.12,Благодійність
2021-05-08,2021,5,Естонія,Таллінн,Eesti Pandipakend,93,2005,Värska,PET,33,5.08,Ваучер
2021-05-08,2021,5,Литва,Клайпеда,USAD,92,2016,Utenos,PET,24,5.1,Додаток
2021-05-08,2021,5,Литва,Каунас,USAD,92,2016,Kauno Grūdai,PET,8,1.12,Благодійність
2021-05-09,2021,5,Норвегія,Берген,Infinitum,97,1999,Hansa,ALU,7,1.03,Ваучер
2021-05-09,2021,5,Німеччина,Берлін,DPG/Pfand,98,2003,Paulaner,PET,19,4.56,Готівка
2021-05-09,2021,5,Литва,Вільнюс,USAD,92,2016,Kauno Grūdai,ALU,16,2.94,Благодійність
2021-05-09,2021,5,Швеція,Гетеборг,Returpack,88,1984,Loka,PET,8,1.95,Готівка
2021-05-09,2021,5,Швеція,Стокгольм,Returpack,88,1984,Pepsi Sweden,PET,23,4.7,Ваучер
2021-05-09,2021,5,Латвія,Даугавпілс,Latvijas Zalais Punkts,91,2011,Aldaris,ALU,7,1.02,Готівка
2021-05-10,2021,5,Норвегія,Осло,Infinitum,97,1999,Farris,PET,26,4.7,Додаток
2021-05-10,2021,5,Німеччина,Берлін,DPG/Pfand,98,2003,Pepsi,PET,13,2.98,Готівка
2021-05-10,2021,5,Литва,Клайпеда,USAD,92,2016,Rasa,PET,27,5.56,Ваучер
2021-05-10,2021,5,Фінляндія,Оулу,Palpa,94,1996,Fazer,ALU,25,3.86,Готівка
2021-05-10,2021,5,Швеція,Мальме,Returpack,88,1984,Pepsi Sweden,ALU,24,5.59,Додаток
2021-05-10,2021,5,Нідерланди,Амстердам,Statiegeld Nederland,95,2023,Coca-Cola NL,PET,2,0.39,Благодійність
